time/s	Ewe/V	x	Q discharge/mA.h	Q charge/mA.h	
0,000000000000000E+000	2,8061471E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,999999848427251E+001	2,8060708E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,199999969685450E+002	2,8061090E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,799999954528175E+002	2,8060517E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,399999939370900E+002	2,8058608E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
2,999999924213625E+002	2,8060708E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
3,599999909056351E+002	2,8059371E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
4,199999893899076E+002	2,8058798E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
4,799999878741801E+002	2,8058798E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,399999863584526E+002	2,8056889E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
5,999999848427251E+002	2,8055935E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
6,599999833269976E+002	2,8056316E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
7,199999818112701E+002	2,8055935E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
7,799999802955426E+002	2,8055744E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
8,399999787798151E+002	2,8054407E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
8,999999772640876E+002	2,8053834E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,599999757483602E+002	2,8051925E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,019999974232633E+003	2,8053453E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,079999972716905E+003	2,8051734E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,139999971201178E+003	2,8051353E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,199999969685450E+003	2,8050206E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,259999968169723E+003	2,8050015E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
1,315073966778436E+003	2,8041234E+000	1,000000000001647E+000	3,472243810796903E-012	0,000000000000000E+000
1,325073966525815E+003	2,9556921E+000	9,998147368211225E-001	0,000000000000000E+000	3,906489724272768E-004
1,335073966273194E+003	2,9478455E+000	9,996294569896421E-001	0,000000000000000E+000	7,813330588055267E-004
1,345073966020573E+003	2,9451916E+000	9,994441836700253E-001	0,000000000000000E+000	1,172003414161929E-003
1,355073965767951E+003	2,9438744E+000	9,992589136110782E-001	0,000000000000000E+000	1,562666894016592E-003
1,365073965515330E+003	2,9433780E+000	9,990736466205385E-001	0,000000000000000E+000	1,953323903777130E-003
1,375073965262709E+003	2,9432635E+000	9,988883793227463E-001	0,000000000000000E+000	2,343981561415322E-003
1,385073965010088E+003	2,9434352E+000	9,987031160371334E-001	0,000000000000000E+000	2,734630758906829E-003
1,395073964757466E+003	2,9440653E+000	9,985178559417899E-001	0,000000000000000E+000	3,125273229343621E-003
1,405073964504845E+003	2,9447145E+000	9,983326003643114E-001	0,000000000000000E+000	3,515906173336434E-003
1,415073964252224E+003	2,9454973E+000	9,981473475974311E-001	0,000000000000000E+000	3,906533190855974E-003
1,425073963999603E+003	2,9465663E+000	9,979620964341273E-001	0,000000000000000E+000	4,297156827047891E-003
1,435073963746981E+003	2,9478264E+000	9,977768450348191E-001	0,000000000000000E+000	4,687780960882300E-003
1,445073963494360E+003	2,9489527E+000	9,975915954984872E-001	0,000000000000000E+000	5,078401166414646E-003
