time/s	Ewe/V	<I>/mA	x	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	
9,936561587839387E+005	3,8994427E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936571587827168E+005	3,8996146E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936581587814949E+005	3,8994427E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936591587802731E+005	3,8996336E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936601587790512E+005	3,8996336E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936611587778293E+005	3,8995571E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936621587766074E+005	3,8996527E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936631587753855E+005	3,8997481E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936641587741636E+005	3,8996146E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936651587729417E+005	3,8998055E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936661585717201E+005	3,8991370E+000	0,000000000000000E+000	1,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000	0,000000000000000E+000
9,936661589717194E+005	3,9018750E+000	2,442436343993890E-001	9,999999889164386E-001	0,000000000000000E+000	2,713813549942440E-008	2,713813549942440E-008	0,000000000000000E+000
9,936761591595002E+005	3,9092004E+000	2,448770520696179E-001	9,997221755946938E-001	0,000000000000000E+000	6,802539447695017E-004	6,802539447695017E-004	0,000000000000000E+000
9,936861593472809E+005	3,9116828E+000	2,448741423870268E-001	9,994443655739875E-001	0,000000000000000E+000	1,360472668800089E-003	1,360472668800089E-003	0,000000000000000E+000
9,936961595350616E+005	3,9136879E+000	2,448758417750312E-001	9,991665536253234E-001	0,000000000000000E+000	2,040696113441554E-003	2,040696113441554E-003	0,000000000000000E+000
9,937061597228423E+005	3,9156737E+000	2,448746427496832E-001	9,988887430369551E-001	0,000000000000000E+000	2,720916227394508E-003	2,720916227394508E-003	0,000000000000000E+000
9,937161599106230E+005	3,9173925E+000	2,448745356791019E-001	9,986109325700584E-001	0,000000000000000E+000	3,401136043923597E-003	3,401136043923597E-003	0,000000000000000E+000
9,937261600984037E+005	3,9190919E+000	2,448764687933913E-001	9,983331199100413E-001	0,000000000000000E+000	4,081361230315434E-003	4,081361230315434E-003	0,000000000000000E+000
9,937361602861844E+005	3,9207723E+000	2,448762399432708E-001	9,980553075096548E-001	0,000000000000000E+000	4,761585781000555E-003	4,761585781000555E-003	0,000000000000000E+000
9,937461604739651E+005	3,9222617E+000	2,448732176478647E-001	9,977774985380662E-001	0,000000000000000E+000	5,441801936263011E-003	5,441801936263011E-003	0,000000000000000E+000
9,937561606617458E+005	3,9239039E+000	2,448746718061038E-001	9,974996879167333E-001	0,000000000000000E+000	6,122022130929761E-003	6,122022130929761E-003	0,000000000000000E+000
9,937661608495265E+005	3,9252598E+000	2,448737958709045E-001	9,972218782891500E-001	0,000000000000000E+000	6,802239892397490E-003	6,802239892397490E-003	0,000000000000000E+000
9,937761610373072E+005	3,9267111E+000	2,448746437450620E-001	9,969440676996524E-001	0,000000000000000E+000	7,482460009115437E-003	7,482460009115437E-003	0,000000000000000E+000
9,937861612250879E+005	3,9279714E+000	2,448737931598381E-001	9,966662580751448E-001	0,000000000000000E+000	8,162677763052285E-003	8,162677763052285E-003	0,000000000000000E+000
9,937961614128686E+005	3,9293270E+000	2,448746359572654E-001	9,963884474944824E-001	0,000000000000000E+000	8,842897858137059E-003	8,842897858137059E-003	0,000000000000000E+000
9,938061616006494E+005	3,9306066E+000	2,448744507828204E-001	9,961106371239008E-001	0,000000000000000E+000	9,523117438838715E-003	9,523117438838715E-003	0,000000000000000E+000
9,938161617884301E+005	3,9318478E+000	2,448744119669184E-001	9,958328267973557E-001	0,000000000000000E+000	1,020333691171640E-002	1,020333691171640E-002	0,000000000000000E+000
9,938261619762108E+005	3,9331081E+000	2,448720351925947E-001	9,955550191672642E-001	0,000000000000000E+000	1,088354978231920E-002	1,088354978231920E-002	0,000000000000000E+000
9,938361621639915E+005	3,9343302E+000	2,448732831542254E-001	9,952772101213586E-001	0,000000000000000E+000	1,156376611954719E-002	1,156376611954719E-002	0,000000000000000E+000
9,938461623517722E+005	3,9354377E+000	2,448741113967697E-001	9,949994001358108E-001	0,000000000000000E+000	1,224398475749211E-002	1,224398475749211E-002	0,000000000000000E+000
9,938561625395529E+005	3,9365835E+000	2,448746575075161E-001	9,947215895306997E-001	0,000000000000000E+000	1,292420491243982E-002	1,292420491243982E-002	0,000000000000000E+000
9,938661627273336E+005	3,9377863E+000	2,448735032473958E-001	9,944437802350981E-001	0,000000000000000E+000	1,360442186104920E-002	1,360442186104920E-002	0,000000000000000E+000
9,938761629151143E+005	3,9388366E+000	2,448754923058522E-001	9,941659686829072E-001	0,000000000000000E+000	1,428464433492472E-002	1,428464433492472E-002	0,000000000000000E+000
9,938861631028950E+005	3,9399633E+000	2,448773718338899E-001	9,938881549983895E-001	0,000000000000000E+000	1,496487202980949E-002	1,496487202980949E-002	0,000000000000000E+000
9,938961632906757E+005	3,9409564E+000	2,448750467602603E-001	9,936103439516706E-001	0,000000000000000E+000	1,564509326603512E-002	1,564509326603512E-002	0,000000000000000E+000
9,939061634784564E+005	3,9420447E+000	2,448764989855571E-001	9,933325312574003E-001	0,000000000000000E+000	1,632531853629566E-002	1,632531853629566E-002	0,000000000000000E+000
9,939161636662371E+005	3,9431906E+000	2,448764799309060E-001	9,930547185847476E-001	0,000000000000000E+000	1,700554375362562E-002	1,700554375362562E-002	0,000000000000000E+000
9,939261638540179E+005	3,9441261E+000	2,448753772728360E-001	9,927769071630618E-001	0,000000000000000E+000	1,768576590795898E-002	1,768576590795898E-002	0,000000000000000E+000
9,939361640417986E+005	3,9450428E+000	2,448771446297208E-001	9,924990937363074E-001	0,000000000000000E+000	1,836599297170920E-002	1,836599297170920E-002	0,000000000000000E+000
9,939461642295793E+005	3,9460547E+000	2,448767540439438E-001	9,922212807526730E-001	0,000000000000000E+000	1,904621895047857E-002	1,904621895047857E-002	0,000000000000000E+000
9,939561644173600E+005	3,9469714E+000	2,448745524387193E-001	9,919434702667627E-001	0,000000000000000E+000	1,972643881356302E-002	1,972643881356302E-002	0,000000000000000E+000
9,939661646051407E+005	3,9479070E+000	2,448752801301161E-001	9,916656589552854E-001	0,000000000000000E+000	2,040666069805043E-002	2,040666069805043E-002	0,000000000000000E+000
9,939761647929214E+005	3,9489191E+000	2,448751140955552E-001	9,913878478321746E-001	0,000000000000000E+000	2,108688212132206E-002	2,108688212132206E-002	0,000000000000000E+000
9,939861649807021E+005	3,9499121E+000	2,448755082331063E-001	9,911100362619142E-001	0,000000000000000E+000	2,176710463944078E-002	2,176710463944078E-002	0,000000000000000E+000
9,939961651684828E+005	3,9507523E+000	2,448738919875497E-001	9,908322265252865E-001	0,000000000000000E+000	2,244732266790420E-002	2,244732266790420E-002	0,000000000000000E+000
9,940061653562635E+005	3,9515924E+000	2,448749386186037E-001	9,905544156012545E-001	0,000000000000000E+000	2,312754360373070E-002	2,312754360373070E-002	0,000000000000000E+000
9,940161655440442E+005	3,9526045E+000	2,448749158470768E-001	9,902766047030568E-001	0,000000000000000E+000	2,380776447630177E-002	2,380776447630177E-002	0,000000000000000E+000
9,940261657318249E+005	3,9534256E+000	2,448754105327954E-001	9,899987932436375E-001	0,000000000000000E+000	2,448798672302564E-002	2,448798672302564E-002	0,000000000000000E+000
9,940361659196056E+005	3,9541895E+000	2,448778290066396E-001	9,897209790404566E-001	0,000000000000000E+000	2,516821568785857E-002	2,516821568785857E-002	0,000000000000000E+000
9,940461661073864E+005	3,9552016E+000	2,448759988866464E-001	9,894431669135493E-001	0,000000000000000E+000	2,584843956892938E-002	2,584843956892938E-002	0,000000000000000E+000
9,940561662951671E+005	3,9560227E+000	2,448767162967330E-001	9,891653539727392E-001	0,000000000000000E+000	2,652866544284341E-002	2,652866544284341E-002	0,000000000000000E+000
9,940661664829478E+005	3,9569583E+000	2,448748143300541E-001	9,888875431897127E-001	0,000000000000000E+000	2,720888603341746E-002	2,720888603341746E-002	0,000000000000000E+000
9,940761666707285E+005	3,9577222E+000	2,448761216842138E-001	9,886097309234912E-001	0,000000000000000E+000	2,788911025559903E-002	2,788911025559903E-002	0,000000000000000E+000
9,940861668585092E+005	3,9585052E+000	2,448761779275906E-001	9,883319185934617E-001	0,000000000000000E+000	2,856933463401514E-002	2,856933463401514E-002	0,000000000000000E+000
9,940961670462899E+005	3,9593453E+000	2,448757116477202E-001	9,880541067924271E-001	0,000000000000000E+000	2,924955771718506E-002	2,924955771718506E-002	0,000000000000000E+000
9,941061672340706E+005	3,9601474E+000	2,448750210446172E-001	9,877762957748827E-001	0,000000000000000E+000	2,992977888197701E-002	2,992977888197701E-002	0,000000000000000E+000
9,941161674218513E+005	3,9610257E+000	2,448740189257741E-001	9,874984858942434E-001	0,000000000000000E+000	3,060999726305323E-002	3,060999726305323E-002	0,000000000000000E+000
9,941261676096320E+005	3,9617896E+000	2,448761860753925E-001	9,872206735549701E-001	0,000000000000000E+000	3,129022166410255E-002	3,129022166410255E-002	0,000000000000000E+000
9,941361677974127E+005	3,9626489E+000	2,448761812829711E-001	9,869428612211338E-001	0,000000000000000E+000	3,197044605183934E-002	3,197044605183934E-002	0,000000000000000E+000
9,941461679851934E+005	3,9633172E+000	2,448756214926196E-001	9,866650495223804E-001	0,000000000000000E+000	3,265066888457373E-002	3,265066888457373E-002	0,000000000000000E+000
9,941561681729741E+005	3,9641383E+000	2,448747427667831E-001	9,863872388205425E-001	0,000000000000000E+000	3,333088927635718E-002	3,333088927635718E-002	0,000000000000000E+000
9,941661683607548E+005	3,9647875E+000	2,448755269635142E-001	9,861094272290325E-001	0,000000000000000E+000	3,401111184650579E-002	3,401111184650579E-002	0,000000000000000E+000
9,941761685485356E+005	3,9656467E+000	2,448753803513581E-001	9,858316158038541E-001	0,000000000000000E+000	3,469133400939076E-002	3,469133400939076E-002	0,000000000000000E+000
9,941861687363163E+005	3,9663725E+000	2,448759437471269E-001	9,855538037395025E-001	0,000000000000000E+000	3,537155773729336E-002	3,537155773729336E-002	0,000000000000000E+000
9,941961689240970E+005	3,9672890E+000	2,448755463963497E-001	9,852759921259460E-001	0,000000000000000E+000	3,605178036142308E-002	3,605178036142308E-002	0,000000000000000E+000
9,942061691118777E+005	3,9678810E+000	2,448747434864957E-001	9,849981814232915E-001	0,000000000000000E+000	3,673200075520577E-002	3,673200075520577E-002	0,000000000000000E+000
9,942161692996584E+005	3,9686449E+000	2,448741485619521E-001	9,847203713955798E-001	0,000000000000000E+000	3,741221949638925E-002	3,741221949638925E-002	0,000000000000000E+000
9,942261694874391E+005	3,9694278E+000	2,448757928563317E-001	9,844425595024140E-001	0,000000000000000E+000	3,809244280514289E-002	3,809244280514289E-002	0,000000000000000E+000
9,942361696752198E+005	3,9702106E+000	2,448755800288310E-001	9,841647478507013E-001	0,000000000000000E+000	3,877266552269792E-002	3,877266552269792E-002	0,000000000000000E+000
9,942461698630005E+005	3,9708025E+000	2,448764011341512E-001	9,838869352674435E-001	0,000000000000000E+000	3,945289052114389E-002	3,945289052114389E-002	0,000000000000000E+000
9,942561700507812E+005	3,9714708E+000	2,448760693734776E-001	9,836091230605688E-001	0,000000000000000E+000	4,013311459801513E-002	4,013311459801513E-002	0,000000000000000E+000
9,942661702385619E+005	3,9724066E+000	2,448748169460528E-001	9,833313122745744E-001	0,000000000000000E+000	4,081333519585598E-002	4,081333519585598E-002	0,000000000000000E+000
9,942761704263426E+005	3,9730749E+000	2,448753628055703E-001	9,830535008693018E-001	0,000000000000000E+000	4,149355731000174E-002	4,149355731000174E-002	0,000000000000000E+000
9,942861706141233E+005	3,9737051E+000	2,448769388241115E-001	9,827756876760341E-001	0,000000000000000E+000	4,217378380205898E-002	4,217378380205898E-002	0,000000000000000E+000
9,942961708019041E+005	3,9743543E+000	2,448766614844369E-001	9,824978747974087E-001	0,000000000000000E+000	4,285400952371377E-002	4,285400952371377E-002	0,000000000000000E+000
9,943061709896848E+005	3,9750991E+000	2,448762296011651E-001	9,822200624087554E-001	0,000000000000000E+000	4,353423404567029E-002	4,353423404567029E-002	0,000000000000000E+000
9,943161711774655E+005	3,9759202E+000	2,448778956770571E-001	9,819422481299368E-001	0,000000000000000E+000	4,421446319570229E-002	4,421446319570229E-002	0,000000000000000E+000
9,943261713652462E+005	3,9763403E+000	2,448768795218818E-001	9,816644350039476E-001	0,000000000000000E+000	4,489468952302803E-002	4,489468952302803E-002	0,000000000000000E+000
9,943361715530269E+005	3,9771423E+000	2,448753497303449E-001	9,813866236135088E-001	0,000000000000000E+000	4,557491160085303E-002	4,557491160085303E-002	0,000000000000000E+000
9,943461717408076E+005	3,9778297E+000	2,448775567457814E-001	9,811088097192082E-001	0,000000000000000E+000	4,625513980939159E-002	4,625513980939159E-002	0,000000000000000E+000
9,943561719285883E+005	3,9785364E+000	2,448764202022131E-001	9,808309971143178E-001	0,000000000000000E+000	4,693536486080540E-002	4,693536486080540E-002	0,000000000000000E+000
9,943661721163690E+005	3,9792237E+000	2,448770620359234E-001	9,805531837812662E-001	0,000000000000000E+000	4,761559169512410E-002	4,761559169512410E-002	0,000000000000000E+000
9,943761723041497E+005	3,9798539E+000	2,448762916216136E-001	9,802753713222506E-001	0,000000000000000E+000	4,829581638936287E-002	4,829581638936287E-002	0,000000000000000E+000
9,943861724919304E+005	3,9803886E+000	2,448776043734686E-001	9,799975573739164E-001	0,000000000000000E+000	4,897604473020305E-002	4,897604473020305E-002	0,000000000000000E+000
9,943961726797111E+005	3,9811714E+000	2,448789134817601E-001	9,797197419403971E-001	0,000000000000000E+000	4,965627670752343E-002	4,965627670752343E-002	0,000000000000000E+000
9,944061728674918E+005	3,9818780E+000	2,448786112880114E-001	9,794419268497171E-001	0,000000000000000E+000	5,033650784540097E-002	5,033650784540097E-002	0,000000000000000E+000
9,944161730552725E+005	3,9824891E+000	2,448749439629539E-001	9,791641159196219E-001	0,000000000000000E+000	5,101672879607316E-002	5,101672879607316E-002	0,000000000000000E+000
