time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	3.1503046E+000	-9.425699827261269E-004	1.000000000000000E+000
1.100069972209894E+001	3.1497090E+000	-5.692832799889368E-004	1.000000000000000E+000
3.100149921683624E+001	3.1487398E+000	-5.379784444660800E-004	1.000000000000000E+000
5.100009871162911E+001	3.1477709E+000	-5.446974985708090E-004	1.000000000000000E+000
7.099869820642198E+001	3.1467707E+000	-5.719538299727131E-004	1.000000000000000E+000
9.099729770121485E+001	3.1457298E+000	-5.910320091674411E-004	1.000000000000000E+000
1.109980971959521E+002	3.1447408E+000	-6.097909201756343E-004	1.000000000000000E+000
1.309990966906844E+002	3.1437373E+000	-6.172733695943133E-004	1.000000000000000E+000
1.509976961854773E+002	3.1427124E+000	-6.361027902524203E-004	1.000000000000000E+000
1.709962956802701E+002	3.1417320E+000	-6.465134786923611E-004	1.000000000000000E+000
1.909948951750630E+002	3.1407444E+000	-6.585377647862593E-004	1.000000000000000E+000
2.109936946698508E+002	3.1397395E+000	-6.682695412333906E-004	1.000000000000000E+000
2.309922941646437E+002	3.1386945E+000	-6.804442010267253E-004	1.000000000000000E+000
2.509908936594366E+002	3.1376865E+000	-6.940032312547084E-004	1.000000000000000E+000
2.709892931542345E+002	3.1366978E+000	-7.002442153244828E-004	1.000000000000000E+000
2.909902926489667E+002	3.1356950E+000	-7.158610356091399E-004	1.000000000000000E+000
3.109912921436990E+002	3.1347094E+000	-7.140807941058008E-004	1.000000000000000E+000
3.309896916384969E+002	3.1337504E+000	-7.328764072477541E-004	1.000000000000000E+000
3.509882911332897E+002	3.1327391E+000	-7.519156875869194E-004	1.000000000000000E+000
3.709868906280826E+002	3.1317377E+000	-7.557145393318363E-004	1.000000000000000E+000
3.909855901228730E+002	3.1307573E+000	-7.693293519473472E-004	1.000000000000000E+000
4.109842896176633E+002	3.1297507E+000	-7.748183961399230E-004	1.000000000000000E+000
4.309828891124562E+002	3.1287024E+000	-7.853659527044254E-004	1.000000000000000E+000
4.509814886072490E+002	3.1277218E+000	-7.910542439258077E-004	1.000000000000000E+000
4.709800881020419E+002	3.1267393E+000	-8.080498674246239E-004	1.000000000000000E+000
4.909808875967792E+002	3.1257451E+000	-8.203932569093714E-004	1.000000000000000E+000
5.109818870915115E+002	3.1247351E+000	-8.297470693477658E-004	1.000000000000000E+000
5.309804865863043E+002	3.1237593E+000	-8.424215538072482E-004	1.000000000000000E+000
5.509788860811022E+002	3.1227217E+000	-8.420884313704398E-004	1.000000000000000E+000
5.709774855758951E+002	3.1217563E+000	-8.533868569542309E-004	1.000000000000000E+000
5.909762850706829E+002	3.1208014E+000	-8.679063317697938E-004	1.000000000000000E+000
6.109750845654708E+002	3.1197155E+000	-8.778264242269712E-004	1.000000000000000E+000
6.309734840602687E+002	3.1186843E+000	-8.921111272319933E-004	1.000000000000000E+000
6.509720835550615E+002	3.1176946E+000	-8.917706700042639E-004	1.000000000000000E+000
6.709706830498544E+002	3.1167378E+000	-8.964212532261082E-004	1.000000000000000E+000
6.909716825445867E+002	3.1157308E+000	-9.127672759067680E-004	1.000000000000000E+000
7.109724820393240E+002	3.1147401E+000	-9.251549015631133E-004	1.000000000000000E+000
7.309710815341168E+002	3.1137512E+000	-9.293882998558795E-004	1.000000000000000E+000
7.509696810289097E+002	3.1127558E+000	-9.398926215549580E-004	1.000000000000000E+000
7.709705805236445E+002	3.1116881E+000	-9.451290737381383E-004	1.000000000000000E+000
7.909668800184954E+002	3.1107209E+000	-9.575860951492494E-004	1.000000000000000E+000
8.109656795132832E+002	3.1097183E+000	-9.576860836871728E-004	1.000000000000000E+000
8.309642790080761E+002	3.1087601E+000	-9.695365186481140E-004	1.000000000000000E+000
8.509627785028715E+002	3.1077557E+000	-9.846459050068257E-004	1.000000000000000E+000
8.709636779976063E+002	3.1067505E+000	-9.934758131414229E-004	1.000000000000000E+000
8.909646774923385E+002	3.1057293E+000	-9.959918548881116E-004	1.000000000000000E+000
9.109632769871314E+002	3.1047294E+000	-1.011391125629601E-003	1.000000000000000E+000
9.309616764819293E+002	3.1037388E+000	-1.009558975916449E-003	1.000000000000000E+000
9.509602759767222E+002	3.1027169E+000	-1.017716052954511E-003	1.000000000000000E+000
9.709612754714544E+002	3.1017447E+000	-1.026752854429417E-003	1.000000000000000E+000
9.909599749662448E+002	3.1006982E+000	-1.032352874878569E-003	1.000000000000000E+000
1.010956274461096E+003	3.0997610E+000	-1.047749670097907E-003	1.000000000000000E+000
1.030954873955889E+003	3.0987027E+000	-1.046737456363009E-003	1.000000000000000E+000
1.050953473450681E+003	3.0977411E+000	-1.059387312473566E-003	1.000000000000000E+000
1.070954372945416E+003	3.0966859E+000	-1.054907010043996E-003	1.000000000000000E+000
1.090955272440151E+003	3.0956998E+000	-1.070653339728653E-003	1.000000000000000E+000
1.110953871934944E+003	3.0947227E+000	-1.080281210225562E-003	1.000000000000000E+000
1.130952471429737E+003	3.0937543E+000	-1.083925711630815E-003	1.000000000000000E+000
1.150950870924535E+003	3.0927355E+000	-1.089550255332635E-003	1.000000000000000E+000
1.170951870419267E+003	3.0917730E+000	-1.096646407203580E-003	1.000000000000000E+000
