Cycle ID	Cap_Chg(mAh)	Cap_DChg(mAh)	RCap_Chg(mAh/g)	RCap_DChg(mAh/g)	Efficiency(%)	Engy_Chg(mWh)	Engy_DChg(mWh)	Mid-value Voltage(mV)	CC_Chg_Cap(mAh)	CC_Chg_Rat(%)	Platform_Cap(mAh)	Platform_RCap(mAh/g)	Platform_Efficiency(%)	Platform_Time	Capacitance_Chg(F)	Capacitance_DChg(F)	rd(mO)	REngy_Chg(mWh/g)	REngy_DChg(mWh/g)	Energy Efficiency(%)	
	Step ID	Step Type	Step Time(H:M:S:ms)	Cap(mAh)	CmpCap(mAh/g)	Energy(mWh)	CmpEng(mWh/g)	Capacitance_Chg(F)	Start Vol(mV)	End Vol(mV)	Start Temperature(?)	End Temperature(?)	
		Record ID	Time(H:M:S:ms)	Vol(mV)	Cur(mA)	Temperature(?)	Cap(mAh)	CmpCap(mAh/g)	Energy(mWh)	CmpEng(mWh/g)	Realtime	
1	0.000	1.817	0.000	1817.413	0.00	0.000	2.767	1516.6	0.000	0.00	1.817	1816.568	99.95	11:49:10	0.0000	0.0000	0.0000	0.000	2766.635	0.00%	
	1	Rest	1:20:05:000	0.000	0.000	0.000	0.000	0.0	3278.4	3245.9	0.0	0.0	
		1	0:00:00:000	3278.4	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:36:45	
		2	0:00:05:000	3278.4	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:36:49	
		3	0:00:10:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:36:54	
		4	0:00:15:000	3278.4	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:36:59	
		5	0:00:20:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:04	
		6	0:00:25:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:09	
		7	0:00:30:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:14	
		8	0:00:35:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:19	
		9	0:00:40:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:24	
		10	0:00:45:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:29	
		11	0:00:50:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:34	
		12	0:00:55:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:39	
		13	0:01:00:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:44	
		14	0:01:05:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:49	
		15	0:01:10:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:54	
		16	0:01:15:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:37:59	
		17	0:01:20:000	3278.1	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:04	
		18	0:01:25:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:09	
		19	0:01:30:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:14	
		20	0:01:35:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:19	
		21	0:01:40:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:24	
		22	0:01:45:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:29	
		23	0:01:50:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:34	
		24	0:01:55:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:39	
		25	0:02:00:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:44	
		26	0:02:05:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:49	
		27	0:02:10:000	3277.8	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:54	
		28	0:02:15:000	3277.5	0.000	0.0	0.000	0.000	0.000	0.0	2019-09-09 16:38:59	
