# t [h]	V [V]	i [A]
0.0000e+00	3.1005e+00	-1.5200e-04
8.3333e-04	3.0633e+00	-1.5200e-04
2.2222e-03	3.0034e+00	-1.5200e-04
3.6111e-03	2.9470e+00	-1.5100e-04
5.0000e-03	2.9058e+00	-1.5200e-04
6.3889e-03	2.8531e+00	-1.5200e-04
7.7778e-03	2.8028e+00	-1.5200e-04
9.1667e-03	2.7557e+00	-1.5200e-04
1.0556e-02	2.7117e+00	-1.5200e-04
1.1944e-02	2.6714e+00	-1.5200e-04
1.3333e-02	2.6351e+00	-1.5200e-04
1.4722e-02	2.6047e+00	-1.5200e-04
1.6111e-02	2.5809e+00	-1.5200e-04
1.7500e-02	2.5623e+00	-1.5200e-04
1.8889e-02	2.5483e+00	-1.5200e-04
2.0278e-02	2.5399e+00	-1.5100e-04
2.1667e-02	2.5300e+00	-1.5200e-04
2.3056e-02	2.5220e+00	-1.5200e-04
2.4444e-02	2.5142e+00	-1.5200e-04
2.5833e-02	2.5074e+00	-1.5100e-04
2.7222e-02	2.5012e+00	-1.5200e-04
2.8611e-02	2.4953e+00	-1.5200e-04
3.0000e-02	2.4894e+00	-1.5100e-04
3.1389e-02	2.4844e+00	-1.5200e-04
3.2778e-02	2.4795e+00	-1.5200e-04
3.4167e-02	2.4751e+00	-1.5200e-04
3.5556e-02	2.4717e+00	-1.5200e-04
3.6944e-02	2.4680e+00	-1.5200e-04
3.8333e-02	2.4643e+00	-1.5200e-04
3.9722e-02	2.4612e+00	-1.5200e-04
4.1111e-02	2.4581e+00	-1.5200e-04
4.2500e-02	2.4550e+00	-1.5200e-04
4.3889e-02	2.4516e+00	-1.5200e-04
4.5278e-02	2.4491e+00	-1.5200e-04
4.6667e-02	2.4463e+00	-1.5200e-04
4.8056e-02	2.4438e+00	-1.5100e-04
4.9444e-02	2.4417e+00	-1.5200e-04
5.0833e-02	2.4398e+00	-1.5200e-04
5.2222e-02	2.4373e+00	-1.5200e-04
5.3611e-02	2.4352e+00	-1.5200e-04
5.5000e-02	2.4330e+00	-1.5200e-04
5.6389e-02	2.4305e+00	-1.5100e-04
5.7778e-02	2.4283e+00	-1.5200e-04
5.9167e-02	2.4265e+00	-1.5200e-04
6.0556e-02	2.4243e+00	-1.5200e-04
6.1944e-02	2.4224e+00	-1.5200e-04
6.3333e-02	2.4203e+00	-1.5200e-04
6.4722e-02	2.4184e+00	-1.5200e-04
6.6111e-02	2.4172e+00	-1.5200e-04
6.7500e-02	2.4153e+00	-1.5200e-04
6.8889e-02	2.4135e+00	-1.5100e-04
7.0278e-02	2.4116e+00	-1.5100e-04
7.1667e-02	2.4094e+00	-1.5200e-04
7.3056e-02	2.4076e+00	-1.5200e-04
7.4444e-02	2.4057e+00	-1.5200e-04
7.5833e-02	2.4038e+00	-1.5200e-04
7.7222e-02	2.4020e+00	-1.5200e-04
7.8611e-02	2.4001e+00	-1.5200e-04
8.0000e-02	2.3986e+00	-1.5200e-04
8.1389e-02	2.3970e+00	-1.5200e-04
8.2778e-02	2.3955e+00	-1.5200e-04
8.4167e-02	2.3936e+00	-1.5200e-04
8.5556e-02	2.3921e+00	-1.5200e-04
8.6944e-02	2.3899e+00	-1.5200e-04
8.8333e-02	2.3883e+00	-1.5200e-04
8.9722e-02	2.3865e+00	-1.5200e-04
9.1111e-02	2.3849e+00	-1.5200e-04
9.2500e-02	2.3831e+00	-1.5200e-04
9.3889e-02	2.3812e+00	-1.5200e-04
9.5278e-02	2.3797e+00	-1.5200e-04
9.6667e-02	2.3778e+00	-1.5200e-04
9.8056e-02	2.3763e+00	-1.5200e-04
9.9444e-02	2.3744e+00	-1.5200e-04
1.0083e-01	2.3728e+00	-1.5100e-04
